name_en,category,season,duration_days,water_requirement,typical_states
Drumstick (Moringa),Vegetable,Perennial,N/A,Low,"Andhra Pradesh, Tamil Nadu, Karnataka"
Colocasia,Vegetable,Kharif,180-210,High,"West Bengal, Odisha, Bihar"
Sweet Potato,Vegetable,Kharif/Rabi,90-120,Medium,"Odisha, UP, West Bengal"
Tapioca,Vegetable,Perennial,240-300,Medium,"Tamil Nadu, Kerala, Andhra Pradesh"
Capsicum,Vegetable,Rabi,70-90,Medium,"Karnataka, Maharashtra, Himachal Pradesh"
Chilli (Fresh/Dry),Spice/Vegetable,Kharif/Rabi,120-150,Medium,"Andhra Pradesh, Telangana, Karnataka, MP"
Turmeric,Spice,Kharif,210-270,Medium-High,"Telangana, Andhra Pradesh, Tamil Nadu, Odisha"
Ginger,Spice,Kharif,210-240,High,"Kerala, Karnataka, Meghalaya"
Coriander,Spice,Rabi,90-110,Low,"Rajasthan, MP, Gujarat"
Cumin,Spice,Rabi,100-120,Low,"Gujarat, Rajasthan"
Black Pepper,Spice,Perennial,N/A,High,"Kerala, Karnataka, Tamil Nadu"
Cardamom (Small/Large),Spice,Perennial,N/A,High,"Kerala, Karnataka, Sikkim"
Fenugreek Seed,Spice,Rabi,90-110,Low,"Rajasthan, Gujarat, MP"
Fennel,Spice,Rabi,150-180,Low,"Gujarat, Rajasthan"
Ajwain,Spice,Rabi,150-160,Low,"Rajasthan, Gujarat, MP"
Garlic,Spice,Rabi,130-150,Medium,"MP, Gujarat, Rajasthan"
Clove,Spice,Perennial,N/A,High,"Kerala, Tamil Nadu"
Cinnamon,Spice,Perennial,N/A,High,"Kerala, Tamil Nadu"
Nutmeg,Spice,Perennial,N/A,High,"Kerala, Tamil Nadu"
Tamarind,Spice,Perennial,N/A,Low,"Tamil Nadu, Karnataka, Andhra Pradesh"
Star Anise,Spice,Perennial,N/A,High,"Arunachal Pradesh, Sikkim"
Ashwagandha,Medicinal/Aromatic,Kharif,150-180,Low,"MP, Rajasthan, Andhra Pradesh"
Aloe Vera,Medicinal/Aromatic,Perennial,N/A,Low,"Rajasthan, Gujarat, Tamil Nadu"
Lemongrass,Medicinal/Aromatic,Perennial,N/A,Medium,"Kerala, Uttarakhand, Odisha"
Tulsi (Holy Basil),Medicinal/Aromatic,Kharif/Perennial,90-120,Medium,"UP, MP, Rajasthan"
Isabgol (Psyllium),Medicinal/Aromatic,Rabi,110-130,Low,"Gujarat, Rajasthan, MP"
Mint (Mentha),Medicinal/Aromatic,Zaid,90-110,Medium-High,"UP, Punjab, Haryana"
Stevia,Medicinal/Aromatic,Perennial,N/A,Medium,"Karnataka, Maharashtra, UP"
Sarpagandha,Medicinal/Aromatic,Perennial,N/A,Medium,"UP, Bihar, West Bengal"
Safed Musli,Medicinal/Aromatic,Kharif,150-180,Medium,"MP, Gujarat, Rajasthan"
Berseem,Fodder,Rabi,210-240,High,"Punjab, Haryana, UP"
Lucerne (Alfalfa),Fodder,Rabi/Perennial,N/A,Medium,"Punjab, Rajasthan, Gujarat"
Fodder Maize,Fodder,Kharif,60-70,Medium,"Punjab, Haryana, UP"
Fodder Sorghum,Fodder,Kharif,60-75,Low,"Maharashtra, Karnataka, Gujarat"
Napier Grass,Fodder,Perennial,N/A,Medium,"Tamil Nadu, Karnataka, Kerala"
Guinea Grass,Fodder,Perennial,N/A,Medium,"Tamil Nadu, Kerala, Karnataka"
